Filenames_filename,Data_group,Data_remarks,Data_plant_id,Data_leaftype,SysObs_obs,SysObs_time,SysObs_elapsed,SysObs_date,SysObs_hhmmss,GasEx_E,GasEx_Emm,GasEx_A,GasEx_Ca,GasEx_Ci,GasEx_gsw,GasEx_TleafCnd,GasEx_RHcham,GasEx_VPcham,GasEx_VPDleaf,FLR_Fv/Fm,FLR_A_dark,FLR_A_fs,FLR_ETR,FLR_NPQ,FLR_Fv'/Fm',LeafQ_Qin,Meas_Pa,Meas_Tair,Meas_Tleaf,Meas_Fan_speed,Meas_CO2_s,Meas_H2O_r,Meas_H2O_s,Meas_CO2_r,f
2023-11-17-1144_logdata-tc-heat,group6,"12:44:44 tc-shade5, 12:44:50 tc-shade5",2,shade5,5,1700254803,220,2023-11-17,13:00:03,4.7666e-4,0.47666314,1.22294465,296.9405267,235.2720625,0.0353536,29.73786667,65.52267951,3.03719475,1.15952594,0.80043795,-0.359218189,1.22294465,12.20323004,0.89352581,0.67930794,499.9942,88.57308,31.47622,29.73786667,4999.750666666666,296.94053333333335,33.7856,34.25161333333334,297.3947333,FALSE
2023-11-17-1144_logdata-tc-heat,group6,"12:44:44 tc-shade5, 12:44:50 tc-shade5",2,shade5,3,1700254698,115,2023-11-17,12:58:18,4.9748e-4,0.4974793,1.01851701,295.8859945,245.4371433,0.03693613,29.75886667,65.65175595,3.04301419,1.15878116,0.80043795,-0.359218189,1.01851701,10.35415985,0.73510985,0.69803604,500.0066,88.57184,31.47527333,29.75886667,5006.249333333334,295.886,33.80454666666667,34.317726666666665,297.1186,FALSE
2023-11-17-1144_logdata-tc-heat,group6,"12:44:44 tc-shade5, 12:44:50 tc-shade5",2,shade5,2,1700254657,74,2023-11-17,12:57:37,4.6964e-4,0.4696405,0.97806373,296.0623072,245.5541648,0.03534478,29.7411125,65.96648185,3.05497236,1.14253233,0.80043795,-0.359218189,0.97806373,8.85742813,0.64760374,0.7088307,499.9721875,88.5686625,31.46013125,29.7411125,5005.506874999999,296.06231249999996,33.991868749999995,34.45381875,297.1495,FALSE
2023-11-17-1144_logdata-tc-heat,group6,"12:44:44 tc-shade5, 12:44:50 tc-shade5",2,shade5,1,1700254583,0,2023-11-17,12:56:23,5.3274e-4,0.53273577,0.84198666,296.3406622,257.203317,0.04089466,29.63924667,65.93007288,3.05076707,1.12219343,0.80043795,-0.359218189,0.84198666,6.07895122,0.47821893,0.73070371,499.9953333,88.56276,31.44560667,29.63924667,5000.416666666667,296.34066666666666,33.881053333333334,34.40865333333333,297.0757333,FALSE
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Extra reading,7,1700254274,310,2023-11-17,12:51:14,6.8012e-4,0.6801246,2.64750369,294.8000523,208.1979334,0.05281336,29.66928667,66.29113699,3.06689114,1.11329435,0.80043795,-0.359218189,2.64750369,48.8055123,1.53573953,0.61266977,499.9607333,88.56304667,31.44226,29.66928667,4999.458666666666,294.8000666666667,33.930913333333336,34.59041333333332,297.6296,FALSE
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,6,1700254225,261,2023-11-17,12:50:25,7.241e-4,0.72410104,2.73950994,295.0329851,211.9098801,0.05712883,29.60713125,66.42642584,3.06796822,1.09728017,0.80043795,-0.359218189,2.73950994,48.50269014,1.51604802,0.61451815,499.948875,88.562325,31.41256875,29.60713125,5000.858125,295.033,33.906800000000004,34.6028375,297.8381875,FALSE
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,5,1700254121,157,2023-11-17,12:48:41,7.7773e-4,0.77773116,2.98996457,295.1278507,212.2917239,0.06259885,29.52986,66.58805096,3.06920747,1.0775361,0.80043795,-0.359218189,2.98996457,46.41301282,1.47345347,0.61855476,500.0047333,88.56699333,31.37692667,29.52986,5004.374000000001,295.12786666666665,33.81915333333334,34.614999999999995,298.2824,FALSE
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,4,1700254078,114,2023-11-17,12:47:58,8.0535e-4,0.80535042,2.80948461,295.3411181,220.2563379,0.06542343,29.51678667,66.80344139,3.07510499,1.06851489,0.80043795,-0.359218189,2.80948461,45.13280228,1.43566688,0.62218039,500.0033333,88.56379333,31.35389333,29.51678667,4998.125333333333,295.3411333333333,33.89034666666667,34.68275333333334,298.5698667,FALSE
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,3,1700254045,81,2023-11-17,12:47:25,8.4596e-4,0.84595726,3.10484505,295.7263833,219.4019216,0.07098384,29.36817333,66.95612702,3.07179191,1.03646287,0.80043795,-0.359218189,3.10484505,44.04445706,1.38661644,0.62695066,500.0064667,88.56397333,31.29480667,29.36817333,5002.333333333333,295.72640000000007,33.79402666666667,34.64532666666666,299.1422667,FALSE
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,2,1700254006,42,2023-11-17,12:46:46,8.8809e-4,0.88809151,3.03938555,295.2686711,226.2708085,0.07743055,29.25070625,67.32649442,3.08085135,0.99963659,0.80043795,-0.359218189,3.03938555,41.57134261,1.30251054,0.63530266,499.9931875,88.56775625,31.24961875,29.25070625,4995.899375,295.2686875,33.86533125,34.7460125,298.722875,FALSE
2023-11-17-1144_logdata-tc-heat,group4,"12:31:51 tc-con2, 12:31:51 tc-con2",2,BAD reading,1,1700253639,0,2023-11-17,12:40:39,7.8052e-4,0.78052063,1.70205548,308.9973034,264.1947372,0.07006807,29.0809875,67.30843922,3.07154017,0.96911871,0.80043795,-0.359218189,1.70205548,33.69563974,1.36488008,0.62908804,499.967375,88.5829125,31.20115625,29.0809875,5000.97625,308.9973125,33.856243750000004,34.63510625000001,311.5801875,FALSE
2023-11-17-1144_logdata-tc-heat,group5,"12:34:04 tc-trt, 12:34:05 tc-trt",2,Treatment,1,1700253964,0,2023-11-17,12:46:04,9.1889e-4,0.91888937,3.02359203,295.8835837,232.529035,0.0843606,29.06158667,67.61682932,3.0845822,0.95154542,0.80043795,-0.359218189,3.02359203,35.37850586,1.12626647,0.65354675,500.0057333,88.56822667,31.19528667,29.06158667,5004.041333333334,295.88359999999994,33.90878,34.788333333333334,298.7358667,FALSE
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,6,1700253495,241,2023-11-17,12:38:15,9.6372e-4,0.96371543,3.12103132,298.0251707,237.8569031,0.09208434,28.93251875,67.85870264,3.08928017,0.91681495,0.80043795,-0.359218189,3.12103132,45.87372671,1.47074196,0.61881353,500.056375,88.591525,31.15930625,28.93251875,5001.09375,298.0251875,33.893100000000004,34.83175625,301.0216875,FALSE
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,5,1700253447,193,2023-11-17,12:37:27,0.0010288,1.02879588,3.41533622,300.0215816,238.6307018,0.09878761,28.92463333,67.96591908,3.09006255,0.91420406,0.80043795,-0.359218189,3.41533622,44.97043986,1.45213125,0.62059542,499.9769333,88.5932,31.13603333,28.92463333,4999.832666666667,300.02160000000003,33.80852,34.83989999999999,303.0566667,FALSE
2023-11-17-1144_logdata-tc-heat,group3,"12:24:04 tc-con, 12:24:05 tc-con",2,Control,4,1700253414,160,2023-11-17,12:36:54,0.00105545,1.05544682,3.65510067,296.9865802,234.5331756,0.10363216,28.87655333,68.21161686,3.09775726,0.89537609,0.80043795,-0.359218189,3.65510067,44.71721845,1.42422133,0.62328699,499.9758,88.5943,31.11634667,28.87655333,5002.874,296.9866,33.87036666666667,34.926219999999994,300.4624,FALSE
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,6,1700253034,247,2023-11-17,12:30:34,0.00104084,1.040837,3.55561989,297.9590434,237.1021611,0.10360786,28.8537,69.26424437,3.1046126,0.88323837,0.80043795,-0.359218189,3.55561989,41.66818384,1.20529773,0.64523781,500.0013125,88.59954375,30.88653125,28.8537,4999.53125,297.95906249999996,33.994375000000005,35.00146875,300.369625,FALSE
2023-11-17-1144_logdata-tc-heat,group2,"12:16:03 tc-ref, 12:16:04 tc-ref",2,Reference,5,1700252952,165,2023-11-17,12:29:12,0.00108159,1.08159006,3.38842368,304.0554817,248.7012667,0.1097235,28.80511875,69.5633005,3.10834413,0.86829788,0.80043795,-0.359218189,3.38842368,39.3212398,1.11977356,0.6542389,500.00075,88.598025,30.83209375,28.80511875,4998.28125,304.05550000000005,33.98810625,35.044118749999996,304.758125,FALSE
