variable,d.begin,d.end,mac,role,name,level,min,max,mean,median,sd,n
Temperature,11/17/23,05/08/24,48E72953672E,Climate Sensor,THP2,2,19.6,30.4,24.9,24.9,1.7,166
Temperature,11/29/23,03/20/24,485519DF2848,Climate Sensor,THP3,3,19.9,29.5,24.6,24.6,1.2,112
Temperature,04/03/24,05/08/24,485519DF2848,Climate Sensor,THP3,3,18.9,27.1,24.4,24.3,0.7,36
Temperature,11/17/23,05/08/24,48E72952E8D2,Climate Sensor,THP4,1,16.8,29.2,24.1,24,1.3,137
